¿Cómo define Ricardo Baquero el concepto de 'educabilidad' en términos generales?,"Como la delimitación de las condiciones, alcances y límites de la acción educativa sobre sujetos en situaciones definidas."
"En el pensamiento de Comenius, ¿a qué se atribuyen usualmente los desafíos de la educabilidad?","Al efecto de las prácticas de crianza o a la ineficacia del método de enseñanza, no a fallas naturales."
"Baquero sostiene que la educabilidad no es un atributo individual, sino un efecto de la _____.",Relación entre el sujeto y el dispositivo de enseñanza.
"Desde una matriz vigotskiana, ¿cuál es la unidad de análisis adecuada para explicar el desarrollo?",La actividad intersubjetiva semióticamente mediada y culturalmente situada.
¿Cuál es la definición técnica de la 'Zona de Desarrollo Próximo' (ZDP)?,La diferencia entre el desempeño autónomo de un sujeto y lo que logra en situaciones colaborativas con alguien más capaz.
¿Qué autor propone que la escuela es el Aparato Ideológico de Estado (AIE) dominante en el capitalismo maduro?,Louis Althusser.
¿Cuál es la principal diferencia entre los Aparatos Represivos de Estado y los Aparatos Ideológicos de Estado (AIE)?,"Los primeros funcionan masivamente por la violencia, mientras que los AIE funcionan mediante la ideología."
"Según Althusser, ¿Qué pareja institucional reemplazó a la dupla Iglesia-Familia en el rol dominante?",La pareja Escuela-Familia.
La función principal de los AIE en una formación social es asegurar la _____ de las relaciones de producción.,Reproducción
¿Cómo define Althusser a la ideología en términos de su funcionamiento sobre los individuos?,Como el mecanismo que interpela a los individuos como sujetos.
Concepto: Institución (en su uso más antiguo según Lidia Fernández).,"Definición: Normas-valor de alta significación para un grupo social, formalizadas en leyes con amplio alcance."
¿A qué se refiere Lidia Fernández con el término 'estilo institucional'?,A la recurrencia de rasgos que caracterizan la manera de un establecimiento de resolver problemas y producir resultados.
Concepto: Novela institucional.,Definición: Producción cultural que sintetiza el registro del origen y las vicisitudes críticas de una institución.
¿Qué es un 'analizador' en el contexto del análisis institucional?,Un dispositivo artificial o natural que descompone la realidad institucional sin intervención del pensamiento consciente.
Menciona los tres componentes básicos sin los cuales un establecimiento educativo no puede tener origen.,"Un espacio material, un conjunto de personas y un proyecto vinculado a un modelo de mundo/persona."
¿Qué constituye la 'identidad institucional' según Lidia Fernández?,"La definición consensuada de lo que el establecimiento es, basada en su proyecto, su historia y su estilo."
"Según René Lourau, ¿cuáles son los tres momentos de la institución analizada dialécticamente?","Universalidad, particularidad y singularidad."
¿Qué expresa el momento de la 'particularidad' en el concepto de institución?,La encarnación de la norma universal en condiciones específicas y grupos determinados.
Concepto: Transversalidad.,Definición: Presencia de funciones o pertenencias diversas (como lo educativo o carcelario) que atraviesan una institución singular.
¿Cuál es la tesis fundamental de Berger y Luckmann en su obra sobre la realidad?,La realidad se construye socialmente y la sociología del conocimiento debe analizar ese proceso.
"En la construcción social de la realidad, ¿qué proceso permite que la realidad subjetiva se mantenga en la conciencia?",La interacción continua con los otros y el uso del lenguaje.
¿Qué autor analiza la pedagogía para el preescolar bajo las categorías de pedagogías 'visibles' e 'invisibles'?,Basil Bernstein.
"En una pedagogía 'invisible', ¿cómo es el control del maestro sobre el niño?",Es un control implícito en lugar de explícito.
"Según Bernstein, ¿cómo son los criterios de evaluación en una pedagogía invisible?","Son múltiples, difusos y no fácilmente mensurables."
Sandra Nicastro propone una 'mirada _____' para el asesoramiento pedagógico institucional.,Oblicua
